t,iso,vram_total_mb,server_pid,vram_server_mb,rss_mb,uptime_s,health_ms,health
1785947012.4,18:23:32,20232,90060,19052,10653,1033,6,200
1785947032.5,18:23:52,20239,90060,19052,10387,1053,6,200
1785947052.7,18:24:12,20234,90060,19052,10271,1073,6,200
1785947072.8,18:24:32,20234,90060,19052,10482,1093,6,200
1785947092.9,18:24:52,20234,90060,19052,10514,1113,6,200
1785947113.1,18:25:13,20234,90060,19052,10426,1134,6,200
1785947133.2,18:25:33,20222,90060,19052,10627,1154,6,200
1785947153.3,18:25:53,20174,90060,19052,10726,1174,6,200
1785947173.4,18:26:13,533,,-1,-1,-1,6,000
1785947193.5,18:26:33,19971,107423,18948,2174,19,6,200
1785947213.6,18:26:53,19991,107423,18970,3973,40,7,200
1785947233.8,18:27:13,20001,107423,18978,5784,60,6,200
1785947253.9,18:27:33,20003,107423,18980,7489,80,6,200
1785947274.0,18:27:54,20015,107423,18988,9507,100,6,200
1785947294.2,18:28:14,20023,107423,18988,10327,120,6,200
1785947314.3,18:28:34,20122,107423,18988,10301,140,6,200
1785947334.4,18:28:54,20126,107423,18988,10179,160,6,200
1785947354.5,18:29:14,20188,107423,18992,10096,180,7,200
1785947374.7,18:29:34,20219,107423,19000,10476,201,6,200
1785947394.8,18:29:54,20183,107423,19000,10453,221,6,200
1785947415.0,18:30:14,20181,107423,19000,10282,241,6,200
1785947435.1,18:30:35,20176,107423,19000,10553,261,6,200
1785947455.2,18:30:55,20176,107423,19000,10806,281,6,200
1785947475.3,18:31:15,20176,107423,19000,10475,301,7,200
1785947495.5,18:31:35,20184,107423,19008,10688,321,6,200
1785947515.6,18:31:55,20161,107423,19008,10390,341,6,200
1785947535.7,18:32:15,20170,107423,19012,10155,362,6,200
1785947555.8,18:32:35,20169,107423,19012,10800,382,6,200
1785947576.0,18:32:55,20161,107423,19012,11059,402,6,200
1785947596.1,18:33:16,20162,107423,19012,10486,422,6,200
1785947616.2,18:33:36,20169,107423,19012,10462,442,6,200
1785947636.3,18:33:56,20161,107423,19012,10447,462,6,200
1785947656.5,18:34:16,20169,107423,19012,10610,482,6,200
1785947676.6,18:34:36,20169,107423,19012,10360,503,6,200
1785947696.7,18:34:56,20169,107423,19012,10344,523,5,200
1785947716.9,18:35:16,20161,107423,19012,10193,543,6,200
1785947737.0,18:35:36,20156,107423,19016,11057,563,6,200
1785947757.1,18:35:57,20040,107423,19016,10746,583,6,200
1785947777.2,18:36:17,20040,107423,19016,10771,603,6,200
1785947797.3,18:36:37,20033,107423,19016,10744,623,6,200
1785947817.5,18:36:57,20046,107423,19020,10835,643,6,200
1785947837.6,18:37:17,20046,107423,19020,10502,664,6,200
1785947857.8,18:37:37,20046,107423,19020,10031,684,6,200
1785947877.9,18:37:57,20046,107423,19020,10833,704,6,200
1785947898.0,18:38:18,20046,107423,19020,10467,724,6,200
1785947918.1,18:38:38,20050,107423,19024,10707,744,6,200
1785947938.2,18:38:58,20050,107423,19024,10856,764,6,200
1785947958.4,18:39:18,20050,107423,19024,10822,784,6,200
1785947978.5,18:39:38,20050,107423,19024,10879,804,6,200
1785947998.6,18:39:58,20050,107423,19024,11102,825,6,200
1785948018.7,18:40:18,20050,107423,19024,10607,845,6,200
1785948038.9,18:40:38,20049,107423,19024,10374,865,6,200
1785948059.0,18:40:58,20049,107423,19024,10604,885,6,200
1785948079.1,18:41:19,20049,107423,19024,10786,905,6,200
1785948099.2,18:41:39,20049,107423,19024,10768,925,7,200
1785948119.4,18:41:59,20057,107423,19032,10638,945,6,200
1785948139.5,18:42:19,20057,107423,19032,10350,965,6,200
1785948159.6,18:42:39,20057,107423,19032,10292,986,6,200
1785948179.7,18:42:59,20061,107423,19036,10820,1006,6,200
1785948199.9,18:43:19,20069,107423,19044,10742,1026,6,200
1785948220.0,18:43:39,20074,107423,19044,10583,1046,6,200
1785948240.1,18:44:00,20089,107423,19044,11089,1066,6,200
1785948260.2,18:44:20,20252,107423,19052,11239,1086,6,200
1785948280.4,18:44:40,20088,107423,19056,11091,1106,6,200
1785948300.5,18:45:00,20209,107423,19056,10651,1126,8,200
1785948320.6,18:45:20,20232,107423,19056,10902,1147,6,200
1785948340.8,18:45:40,20192,107423,19056,10611,1167,6,200
1785948360.9,18:46:00,20194,107423,19056,10699,1187,6,200
1785948381.0,18:46:21,20206,107423,19056,10595,1207,6,200
1785948401.1,18:46:41,20220,107423,19064,10872,1227,6,200
1785948421.3,18:47:01,20220,107423,19064,11007,1247,6,200
1785948441.4,18:47:21,20211,107423,19064,10585,1267,6,200
1785948461.5,18:47:41,20219,107423,19064,10897,1287,6,200
1785948481.6,18:48:01,20211,107423,19064,11063,1308,6,200
1785948501.7,18:48:21,20219,107423,19064,10912,1328,6,200
1785948521.9,18:48:41,20203,107423,19064,11128,1348,6,200
1785948542.0,18:49:01,20211,107423,19064,11011,1368,6,200
1785948562.1,18:49:22,20211,107423,19064,10737,1388,6,200
1785948582.2,18:49:42,20215,107423,19068,10404,1408,6,200
1785948602.4,18:50:02,20215,107423,19068,10540,1428,6,200
1785948622.5,18:50:22,20215,107423,19068,11017,1448,6,200
1785948642.6,18:50:42,20217,107423,19072,10355,1469,7,200
1785948662.7,18:51:02,20217,107423,19072,10586,1489,6,200
1785948682.8,18:51:22,20209,107423,19072,10541,1509,6,200
1785948703.0,18:51:42,20225,107423,19080,10900,1529,6,200
