G0,147.09,21.36,44.9,101.0,6000
G0,144.72,21.01,43.32,63.0,119
G0,140.93,20.46,40.72,74.0,231
G0,136.48,19.6,37.85,71.0,268
G0,132.33,19.01,35.28,78.0,245
G0,128.1,18.4,32.93,73.0,243
G0,123.59,17.75,30.7,67.0,253
G0,120.1,17.25,29.03,65.0,195
G0,117.22,17.02,27.74,59.0,158
G0,114.58,16.46,26.6,61.0,146
G0,112.99,16.41,25.95,59.0,85
G0,109.47,15.38,24.55,78.0,112
G0,107.73,14.63,23.94,73.0,99
G0,106.14,14.42,23.37,67.0,85
G0,107.4,14.59,23.38,62.0,54
G0,108.72,14.77,23.62,73.0,67
G0,111.3,14.94,23.69,70.0,129
G0,113.68,15.09,23.76,66.0,119
G0,115.68,14.81,23.77,65.0,100
G0,118.63,14.08,23.83,64.0,151
G0,121.54,13.29,23.68,63.0,150
G0,125.06,12.9,23.43,63.0,177
G0,129.23,12.33,22.93,61.0,211
G0,133.8,11.32,21.84,62.0,240
G0,143.53,11.03,18.97,75.0,507
G0,151.07,9.75,17.23,71.0,392
G0,158.75,9.02,15.57,78.0,394
G0,167.29,8.22,14.03,73.0,435
G0,176.47,7.04,12.78,79.0,466
G0,186.16,6.86,12.93,73.0,484
G0,195.5,7.2,14.7,79.0,475
G0,203.92,7.51,17.35,73.0,441
G0,211.63,7.79,21.27,68.0,432
G0,218.7,8.39,25.56,66.0,414
G0,225.32,9.34,30.07,64.0,403
G0,231.48,11.02,34.51,61.0,388
G0,237.61,12.4,39.39,62.0,397
G0,242.74,14.17,44.15,73.0,360
G0,247.49,15.59,48.97,71.0,345
G0,251.9,17.03,53.52,66.0,324
G0,255.92,18.48,58.34,65.0,322
G0,259.0,19.9,62.35,63.0,262
G0,261.92,20.94,66.75,63.0,269
G0,264.26,21.53,70.96,63.0,242
G0,266.12,22.51,75.13,63.0,233
G0,268.48,23.12,79.09,63.0,232
G0,270.68,23.31,83.42,74.0,243
G0,272.49,23.89,87.39,70.0,220
G0,273.46,23.97,92.33,78.0,251
G0,273.6,23.98,97.37,72.0,252
G0,272.42,23.88,102.97,79.0,286
G0,270.48,23.71,108.79,73.0,306
G0,267.22,23.42,115.24,68.0,361
G0,263.86,23.54,121.25,66.0,344
G0,260.42,24.04,126.84,61.0,329
G0,257.63,24.98,132.1,61.0,301
G0,254.71,26.27,137.52,62.0,314
G0,251.79,27.53,142.58,73.0,298
G0,248.47,28.71,147.36,70.0,296
