G0,147.65,0.23,85.8,116.0,6000
G0,144.23,0.22,79.61,91.0,353
G0,138.81,0.21,70.94,76.0,511
G0,131.64,0.2,61.1,69.0,608
G0,122.58,0.19,50.58,60.0,694
G0,111.9,0.17,40.25,62.0,742
G0,100.31,0.15,30.97,63.0,742
G0,98.32,0.3,29.51,74.0,123
G0,98.21,-7.85,29.65,73.0,54
G0,100.49,-8.96,31.21,78.0,95
G0,102.81,-11.4,33.04,81.0,85
G0,104.82,-12.6,34.56,72.0,139
G0,107.66,-13.78,35.94,67.0,168
G0,111.98,-15.03,37.51,76.0,238
G0,115.76,-16.45,38.43,71.0,207
G0,120.47,-17.87,39.23,78.0,249
G0,125.37,-18.99,39.28,73.0,251
G0,131.21,-20.08,38.98,79.0,297
G0,136.85,-21.59,37.81,73.0,297
G0,141.88,-24.17,35.62,69.0,303
G0,147.61,-27.25,32.94,66.0,351
G0,152.97,-30.43,31.2,65.0,323
G0,157.77,-32.89,30.96,75.0,269
G0,163.05,-34.0,31.14,71.0,269
G0,170.35,-34.7,30.83,78.0,367
G0,178.9,-35.3,30.49,73.0,428
G0,188.12,-35.32,30.82,79.0,461
G0,195.96,-34.0,32.88,74.0,410
G0,202.75,-31.67,36.24,68.0,396
G0,207.48,-27.86,39.64,66.0,348
G0,211.87,-23.5,43.05,64.0,353
G0,215.96,-18.93,47.51,64.0,379
G0,220.24,-13.53,52.01,63.0,411
G0,225.4,-7.61,56.79,74.0,459
G0,228.63,-1.4,62.7,70.0,458
G0,231.14,4.26,68.43,78.0,421
G0,233.14,10.02,74.82,73.0,441
G0,234.64,15.86,81.63,68.0,454
G0,235.93,21.78,89.01,65.0,477
G0,237.66,26.72,95.43,64.0,414
G0,238.95,31.33,101.76,63.0,396
G0,238.05,34.57,112.2,65.0,548
G0,235.1,38.57,119.29,64.0,432
G0,230.68,40.03,125.74,64.0,397
G0,225.08,40.48,131.34,63.0,396
G0,219.14,40.11,135.46,63.0,361
G0,213.49,39.41,138.81,63.0,330
G0,208.27,38.78,141.23,63.0,289
G0,202.76,37.11,142.19,61.0,291
G0,198.09,34.68,142.09,63.0,263
G0,194.18,32.16,141.27,74.0,236
G0,190.68,29.78,140.42,71.0,215
G0,186.89,26.55,139.34,78.0,254
G0,182.85,23.98,138.32,73.0,244
G0,178.98,21.52,136.98,67.0,238
G0,175.31,19.71,135.83,65.0,212
G0,171.22,18.72,134.65,64.0,218
G0,167.36,17.52,133.18,63.0,215
G0,163.48,16.61,131.34,63.0,219
G0,160.18,16.27,129.69,74.0,185
G0,157.17,16.45,127.68,71.0,181
G0,154.5,16.41,124.5,78.0,207
G0,152.01,16.39,120.54,73.0,233
G0,149.84,15.92,116.56,78.0,227
G0,148.85,15.58,113.74,73.0,150
G0,146.39,12.83,111.65,62.0,93
G0,146.02,10.55,110.71,61.0,124
G0,146.0,8.07,110.59,62.0,124
G0,146.31,6.74,110.94,73.0,70
G0,146.95,6.09,112.12,70.0,74
G0,147.87,5.67,114.48,77.0,128
G0,148.71,5.93,117.44,73.0,154
G0,149.21,6.18,119.83,67.0,122
G0,150.04,6.45,122.45,65.0,138
G0,151.62,7.22,124.93,59.0,151
G0,153.95,8.75,127.24,61.0,181
G0,155.66,9.56,130.65,61.0,194
G0,155.77,9.09,133.56,61.0,147
G0,156.13,8.15,135.98,62.0,131
G0,156.82,6.26,138.13,73.0,147
G0,157.94,4.85,139.88,70.0,125
G0,160.84,4.69,141.7,78.0,171
G0,164.89,5.31,143.79,73.0,229
G0,169.57,6.77,146.02,67.0,269
G0,174.08,8.55,147.75,65.0,257
G0,178.66,10.15,149.32,64.0,254
G0,182.66,12.07,150.75,63.0,233
G0,186.64,14.63,152.06,62.0,245
G0,190.81,17.61,153.3,61.0,263
G0,198.16,21.36,155.58,64.0,428
G0,203.23,27.6,156.64,64.0,405
G0,208.82,32.61,157.52,60.0,377
G0,214.05,38.16,158.1,61.0,382
G0,218.58,43.48,158.39,62.0,349
G0,222.09,49.16,158.72,73.0,334
G0,224.9,54.51,158.92,70.0,302
G0,226.81,59.41,158.82,78.0,263
G0,228.11,64.64,158.91,73.0,269
G0,228.47,69.69,159.03,68.0,253
G0,228.73,74.01,159.15,65.0,216
G0,229.19,78.85,159.21,59.0,243
G0,229.33,83.25,160.02,61.0,223
G0,229.06,87.55,162.08,62.0,238
G0,228.83,92.73,164.56,73.0,287
G0,228.68,96.78,167.06,71.0,238
G0,228.56,100.48,169.07,78.0,210
G0,229.62,103.47,170.68,73.0,177
G0,231.62,107.38,171.6,80.0,224
G0,231.1,111.48,171.35,74.0,207
G0,230.84,114.43,171.13,79.0,148
G0,230.16,116.74,171.04,73.0,120
G0,229.06,117.95,171.13,79.0,81
G0,228.15,119.71,171.13,73.0,99
G0,227.03,120.91,171.22,70.0,82
G0,225.16,121.69,171.48,67.0,102
G0,223.28,122.89,171.68,111.0,111
G0,221.59,123.29,171.92,93.0,87
G0,219.53,123.03,172.25,77.0,105
G0,216.52,122.22,172.71,68.0,157
G0,214.26,120.94,173.05,66.0,130
G0,212.38,120.31,173.28,75.0,99
G0,210.5,119.67,173.48,67.0,57
G0,208.04,117.85,173.74,64.0,100
G0,206.14,116.36,173.89,63.0,120
G0,204.97,114.87,173.98,63.0,94
G0,203.99,113.5,174.04,61.0,84
