G0,147.31,-0.0,85.15,117.0,6000
G0,143.86,0.22,78.98,92.0,353
G0,138.54,-0.0,70.54,89.0,498
G0,131.04,-0.0,60.33,78.0,633
G0,121.74,-0.0,49.7,70.0,706
G0,111.17,-0.0,39.61,67.0,730
G0,102.07,-0.0,32.27,64.0,584
G0,95.32,-0.0,27.52,64.0,412
G0,95.71,0.88,27.71,61.0,59
G0,99.51,1.07,30.35,63.0,231
G0,104.4,0.8,33.93,73.0,303
G0,108.59,1.17,37.22,70.0,267
G0,111.95,1.72,39.93,78.0,217
G0,114.21,1.93,41.53,73.0,138
G0,118.36,2.18,43.5,68.0,230
G0,123.61,2.47,45.58,65.0,282
G0,129.55,3.38,47.65,64.0,317
G0,136.4,4.19,49.78,64.0,360
G0,145.91,5.37,51.13,66.0,483
G0,152.29,5.38,50.67,64.0,319
G0,159.58,5.63,49.64,64.0,368
G0,167.24,5.9,48.43,63.0,387
G0,175.53,6.46,48.0,87.0,416
G0,183.46,6.76,47.96,92.0,396
G0,192.23,6.78,48.89,77.0,440
G0,199.74,6.74,50.58,68.0,384
G0,207.32,7.0,53.8,66.0,411
G0,213.48,7.21,58.45,75.0,386
G0,218.45,7.71,63.97,71.0,372
G0,222.4,7.85,68.79,78.0,311
G0,226.36,7.99,73.73,73.0,316
G0,229.62,8.46,78.47,66.0,288
G0,231.23,8.52,83.65,66.0,271
G0,231.82,8.89,88.39,86.0,239
G0,231.23,9.23,93.84,81.0,274
G0,229.22,10.2,99.22,74.0,291
G0,226.19,10.76,104.63,79.0,311
G0,222.69,10.94,109.25,73.0,289
G0,218.74,11.76,113.03,79.0,276
G0,215.34,11.9,115.98,74.0,225
G0,211.61,12.35,118.11,79.0,215
G0,208.15,12.15,119.69,73.0,190
G0,204.69,11.94,121.16,68.0,188
G0,200.96,12.04,121.82,65.0,189
G0,197.48,11.52,121.74,64.0,175
G0,193.91,11.32,121.33,64.0,179
G0,188.6,10.72,120.22,65.0,272
G0,185.05,9.66,119.35,64.0,190
G0,181.49,9.2,118.39,64.0,185
G0,178.3,8.76,117.23,63.0,171
G0,175.14,8.07,116.0,63.0,173
G0,172.26,7.93,115.0,61.0,152
G0,169.12,7.79,113.64,62.0,171
G0,166.13,7.65,112.05,73.0,169
G0,163.48,7.53,110.35,70.0,157
G0,160.68,7.65,108.14,78.0,178
G0,157.96,7.27,105.17,73.0,202
G0,155.85,7.18,101.74,68.0,201
G0,154.47,7.11,98.36,65.0,182
G0,153.3,7.06,95.33,64.0,162
G0,151.68,6.75,91.79,64.0,195
G0,150.17,6.45,88.39,63.0,186
G0,148.67,6.39,85.24,74.0,174
G0,146.78,6.53,81.83,70.0,195
G0,144.56,6.43,78.05,78.0,219
G0,142.5,6.34,74.74,73.0,194
G0,140.56,6.26,71.58,79.0,185
G0,138.47,6.38,68.57,73.0,183
G0,136.31,6.49,65.62,68.0,182
G0,134.25,6.39,62.91,65.0,170
G0,132.27,6.5,60.43,64.0,158
G0,130.61,6.42,58.27,64.0,136
G0,128.53,6.71,55.86,61.0,159
G0,126.89,7.01,54.05,61.0,123
G0,125.39,7.32,52.43,62.0,111
G0,123.86,7.61,50.83,73.0,111
G0,122.63,7.91,49.69,70.0,85
G0,121.82,9.93,48.91,73.0,58
G0,121.56,11.03,48.74,68.0,57
G0,120.9,12.47,48.22,65.0,83
G0,120.41,13.73,47.88,59.0,69
G0,120.04,15.37,47.71,61.0,84
G0,119.57,17.55,47.54,62.0,111
G0,118.74,19.48,47.02,73.0,108
G0,117.74,21.17,46.34,71.0,103
G0,116.61,22.45,45.5,78.0,95
G0,115.18,23.28,44.33,73.0,101
G0,113.65,23.51,43.08,79.0,99
G0,112.37,23.43,41.94,73.0,85
G0,109.27,23.83,39.45,59.0,73
G0,108.07,24.09,38.51,62.0,77
G0,105.49,24.37,36.5,70.0,73
G0,104.11,24.39,35.44,78.0,87
G0,103.1,24.49,34.69,73.0,63
G0,100.35,25.14,32.78,64.0,88
G0,96.79,33.63,32.06,73.0,70
G0,96.58,35.39,32.3,67.0,89
G0,95.62,37.9,32.3,65.0,134
G0,94.42,40.3,32.2,64.0,134
G0,93.29,42.38,32.06,64.0,118
G0,92.56,43.95,32.06,61.0,86
G0,91.59,45.93,32.06,61.0,110
G0,90.69,48.12,32.2,62.0,118
G0,90.05,50.11,32.44,73.0,105
G0,89.78,51.78,32.88,70.0,87
G0,89.73,53.41,33.46,77.0,86
G0,89.56,55.19,34.04,72.0,93
G0,89.67,57.56,35.08,68.0,129
G0,89.96,59.91,36.29,65.0,132
G0,90.69,62.22,37.82,64.0,143
G0,91.5,64.02,39.16,64.0,119
G0,92.51,65.79,40.75,62.0,129
G0,92.84,66.89,41.62,61.0,72
G0,93.86,68.28,43.01,62.0,110
G0,94.38,70.0,44.33,74.0,111
G0,93.86,71.87,45.0,80.0,102
G0,94.17,73.49,46.17,69.0,101
G0,93.35,75.65,46.85,65.0,68
G0,90.04,76.0,44.81,73.0,81
G0,90.16,74.46,43.98,67.0,87
G0,90.37,72.79,43.15,65.0,93
G0,90.55,71.11,42.34,64.0,93
G0,90.76,69.06,41.36,64.0,114
G0,91.37,67.33,40.88,63.0,94
G0,91.99,65.21,40.24,61.0,114
G0,93.02,63.4,40.08,62.0,104
G0,93.77,60.59,39.36,74.0,149
G0,95.0,57.93,39.04,71.0,147
G0,95.83,55.07,38.41,78.0,152
G0,96.9,52.37,38.1,73.0,146
G0,97.15,49.46,37.17,68.0,153
G0,97.45,46.28,36.25,65.0,166
G0,97.97,42.35,35.35,64.0,203
G0,98.69,38.07,34.6,64.0,220
G0,99.58,33.92,34.15,64.0,213
G0,100.53,30.33,34.01,62.0,185
G0,101.62,26.45,34.01,62.0,201
G0,102.45,23.01,34.01,73.0,176
G0,103.2,19.38,34.01,70.0,185
G0,103.87,15.41,34.01,66.0,201
G0,104.43,10.93,34.01,64.0,225
G0,104.76,7.08,34.01,63.0,193
G0,104.95,3.38,34.01,63.0,185
G0,105.0,-0.48,34.01,61.0,193
G0,104.89,-4.83,34.01,61.0,217
G0,104.41,-9.15,33.86,62.0,217
G0,103.71,-13.76,33.71,61.0,233
G0,102.99,-18.36,33.71,62.0,232
G0,101.97,-23.39,33.71,73.0,256
G0,100.61,-28.67,33.71,70.0,272
G0,98.87,-34.18,33.71,78.0,288
G0,96.65,-40.03,33.71,72.0,312
G0,94.33,-46.58,34.1,67.0,347
G0,91.47,-52.75,34.4,65.0,340
G0,88.77,-58.92,35.14,64.0,338
G0,86.01,-65.44,36.35,64.0,359
G0,83.33,-72.33,38.19,62.0,380
G0,80.59,-78.88,40.18,61.0,368
G0,77.33,-85.32,42.27,62.0,375
G0,73.94,-92.67,45.41,74.0,434
G0,71.02,-98.57,48.38,80.0,361
G0,68.62,-103.73,51.35,74.0,320
G0,65.8,-109.4,54.95,70.0,364
G0,62.96,-115.23,59.2,67.0,387
G0,59.84,-121.18,63.87,111.0,409
G0,56.76,-126.46,68.57,93.0,385
