G0,148.21,0.91,86.88,100.0,6000
G0,145.44,0.89,81.73,94.0,292
G0,140.81,0.86,74.0,81.0,450
G0,134.45,0.82,64.77,82.0,560
G0,126.02,0.77,54.36,75.0,669
G0,116.04,0.71,44.03,69.0,718
G0,104.2,0.64,33.89,66.0,779
G0,92.46,0.57,25.61,64.0,718
G0,90.59,0.56,24.41,62.0,111
G0,94.7,0.15,27.04,65.0,183
G0,97.72,-0.0,29.09,61.0,182
G0,100.9,-0.0,31.35,61.0,195
G0,103.24,-0.0,33.1,62.0,146
G0,106.12,0.16,35.34,73.0,182
G0,109.14,0.17,37.81,70.0,195
G0,112.28,0.17,40.51,78.0,207
G0,115.17,0.18,43.13,73.0,195
G0,118.17,0.18,45.98,69.0,206
G0,121.09,0.19,48.92,66.0,207
G0,123.94,0.19,51.93,63.0,207
G0,126.7,0.39,55.01,61.0,207
G0,129.7,0.4,58.54,62.0,231
G0,132.59,0.41,62.15,73.0,231
G0,135.52,0.42,66.04,70.0,243
G0,138.73,0.43,70.63,78.0,280
G0,141.79,0.43,75.33,73.0,280
G0,144.67,0.44,80.13,69.0,279
G0,147.73,0.45,85.68,66.0,316
G0,150.56,0.46,91.34,63.0,316
G0,153.45,0.47,97.79,62.0,353
G0,155.97,0.48,104.13,62.0,341
G0,158.29,0.49,110.8,73.0,353
G0,160.24,0.49,117.34,70.0,341
G0,161.91,0.5,123.95,77.0,340
G0,163.16,0.25,129.91,73.0,304
G0,164.07,0.5,135.19,79.0,268
G0,164.8,0.51,140.5,73.0,267
G0,165.33,0.51,145.59,69.0,255
G0,165.61,0.76,149.23,66.0,182
G0,165.77,1.27,152.15,63.0,148
G0,165.88,2.04,155.32,62.0,163
G0,165.92,2.8,159.46,62.0,210
G0,165.9,3.82,159.53,73.0,51
G0,165.85,5.6,159.53,70.0,89
G0,166.16,7.65,159.72,77.0,104
G0,166.05,9.69,159.72,72.0,102
G0,166.1,12.0,159.82,68.0,115
G0,166.22,15.34,160.01,66.0,167
G0,166.63,19.0,160.38,63.0,185
G0,166.93,22.93,160.75,61.0,197
G0,167.41,27.73,161.3,62.0,242
G0,167.65,33.08,161.84,73.0,269
G0,168.05,38.82,162.54,70.0,289
G0,168.2,44.88,163.22,77.0,304
G0,168.09,51.83,163.96,72.0,349
G0,167.61,59.1,164.68,67.0,366
G0,167.31,66.31,165.52,64.0,363
G0,167.08,73.76,166.46,68.0,375
G0,166.61,80.69,167.28,65.0,349
G0,166.42,87.97,168.25,64.0,367
